,0
0,ABT
1,VRTU
2,INDB
3,TKR
4,PMT
5,VOCS
6,NOV
7,PRXL
8,REN
9,IVAC
10,NATL
11,IIVI
12,NUS
13,NBS
14,IBM
15,BRT
16,THLD
17,FANG
18,EVER
19,CALM
20,HOFT
21,KHC
22,IFF
23,OPK
24,BKYF
25,AFL
26,FFG
27,STML
28,AMBC
29,LBMH
30,COWN
31,JDSU
32,WWE
33,MKC
34,TNAV
35,WRE
36,LLEN
37,ZNGA
38,PCAR
39,SYBT
40,CSE
41,MEAS
42,AAWW
43,WGO
44,ALOG
45,KR
46,ULTR
47,AGII
48,DNR
49,ARUN
50,TWER
51,CEMP
52,TTPH
53,WAC
54,BJRI
55,FRP
56,CBU
57,LLTC
58,ISH
59,BBT
60,MANH
61,IQNT
62,UNF
63,SBSI
64,NFBK
65,ANCX
66,CVO
67,III
68,SRDX
69,TNK
70,FMD
71,LAMR
72,JRN
73,MBUU
74,HNR
75,NSM
76,RGLD
77,APOL
78,REXR
79,CNW
80,MXIM
81,EHTH
82,IPHI
83,RT
84,ENV
85,CRRS
86,EEFT
87,CECO
88,WTBA
89,CBR
90,SZYM
91,TJX
92,FIVN
93,CNA
94,GNMK
95,CDI
96,FDUS
97,GY
98,BRKR
99,FTR
100,PNFP
101,ACHN
102,SENEA
103,TPH
104,FBC
105,MRO
106,PETX
107,TECUA
108,DDD
109,CUB
110,PLPC
111,TTWO
112,QTS
113,GGP
114,CFNL
115,CFFI
116,LCI
117,GEOS
118,IRG
119,TEX
120,PRE
121,HTBI
122,LYTS
123,REMY
124,SPAR
125,CTRN
126,DHT
127,TTS
128,HW
129,AA
130,PAYC
131,ANV
132,SLRC
133,BAGL
134,MPO
135,SAFT
136,IMPV
137,CUR
138,BG
139,GNW
140,HCCI
141,CSU
142,ESI
143,CDE
144,VSAR
145,BURL
146,MOV
147,YRCW
148,UBA
149,FNHC
150,ZQK
151,LEN
152,ODFL
153,AVP
154,WLL
155,HXL
156,SBH
157,XRM
158,BWC
159,SEMG
160,MIND
161,RAVN
162,TCPC
163,SAMG
164,DWA
165,SUN
166,SSYS
167,KW
168,WR
169,PDM
170,WSBF
171,GAS
172,BLOX
173,FXEN
174,NOR
175,TGI
176,MDRX
177,VOXX
178,FARM
179,HOG
180,BKCC
181,HUM
182,TRI
183,EXAS
184,ADS
185,CPE
186,UTX
187,SPRT
188,THRX
189,CTCT
190,ROK
191,ARRY
192,AMTG
193,LWAY
194,KFY
195,ZBH
196,CATY
197,SCCO
198,QNST
199,CRL
200,GSOL
201,EDR
202,COLB
203,UPS
204,FWRD
205,HCKT
206,CYNO
207,PROV
208,TXI
209,INSM
210,LXFT
211,RSTI
212,IMMU
213,RAX
214,KEM
215,JONE
216,SATS
217,FHN
218,THO
219,RPXC
220,EVRY
221,DFZ
222,BRO
223,XRX
224,MSFT
225,DAKT
226,ISLE
227,DOV
228,HNH
229,XXIA
230,ASGN
231,BRK_B
232,ATRO
233,MTB
234,PDLI
235,KND
236,CELG
237,MRIN
238,Y
239,PQ
240,SRCE
241,APC
242,NC
243,PFSI
244,EXL
245,VSI
246,AIQ
247,UFPI
248,RPRX
249,ALGN
250,ATK
251,CR
252,SWSH
253,BCOR
254,AEGN
255,EPM
256,PEB
257,BEE
258,MACK
259,NNBR
260,STI
261,LPSN
262,ULTI
263,CBL
264,MCBC
265,NVEC
266,SPWR
267,NYCB
268,RF
269,IFT
270,USPH
271,COR
272,UCTT
273,SEIC
274,VMEM
275,CPLA
276,MCK
277,AFG
278,BKW
279,HUB_B
280,KRC
281,MASI
282,CTRL
283,HSH
284,WIN
285,TQNT
286,NSIT
287,UFCS
288,Z
289,EME
290,INGN
291,OAS
292,ATU
293,CNOB
294,AXP
295,PJC
296,LEA
297,UNS
298,RTI
299,RPTP
300,CLI
301,OPEN
302,BIIB
303,AIRM
304,SFLY
305,LB
306,MSCI
307,MG
308,ARX
309,TUMI
310,WSBC
311,BPTH
312,MPAA
313,LAD
314,NAVG
315,RHP
316,MLNK
317,MINI
318,WAGE
319,EGOV
320,BPFH
321,ENT
322,HUN
323,JNY
324,DLB
325,FIVE
326,GOGO
327,QCOM
328,FAF
329,STRL
330,ACRE
331,NI
